file,title,license,license_url,attribution,source
kennedy/Media/kennedy-john-jr-portrait.jpg,John Fitzgerald Kennedy Jr. portrait,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,"John Kennedy Jr 1999.jpg — [https://www.flickr.com/people/36277035@N06 John Mathew Smith & www.celebrity-photos.com] from Laurel Maryland, USA, Wikimedia Commons, CC BY-SA 2.0",https://commons.wikimedia.org/wiki/File:John_Kennedy_Jr_1999.jpg
kennedy/Media/kennedy-christopher-lawford-portrait.jpg,Christopher Kennedy Lawford portrait,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Christopherlawford.JPG — PeachStatePam, Wikimedia Commons, CC BY 3.0",https://commons.wikimedia.org/wiki/File:Christopherlawford.JPG
kennedy/Media/kennedy-david-portrait.jpg,David Anthony Kennedy portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"David Kennedy 1968.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:David_Kennedy_1968.jpg
kennedy/Attachments/kennedy-attachment-1.jpg,"Kennedy family at Hyannis Port, 4 September 1931",Public domain,,"Hyannis Port, Kennedy family portrait photographs, 4 September 1931 | JFK Library",https://commons.wikimedia.org/wiki/File:TheKennedyFamily1.jpg
kennedy/Attachments/kennedy-attachment-2.jpg,Kennedy family portrait (KFC-008-019-p0001),Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Dorothy Wilding; John F. Kennedy Presidential Library and Museum, KFC-008-019-p0001; public domain.",https://commons.wikimedia.org/wiki/File:Kennedy_family_portrait_photograph_%28KFC-008-019-p0001%29.jpg
roosevelt/Media/roosevelt-alice-portrait.jpg,Alice Lee Roosevelt Longworth portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Mrs. N. Longworth LOC 15123921926.jpg — [https://www.flickr.com/people/8623220@N02 The Library of Congress], Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Mrs._N._Longworth_LOC_15123921926.jpg
roosevelt/Media/roosevelt-alice-lee-portrait.jpg,Alice Hathaway Lee Roosevelt portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Alice Hathaway Roosevelt 1.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Alice_Hathaway_Roosevelt_1.jpg
roosevelt/Media/roosevelt-anna-portrait.jpg,Anna Roosevelt Cowles portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Bamie Roosevelt.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Bamie_Roosevelt.jpg
roosevelt/Media/roosevelt-anna-child-portrait.jpg,Anna Eleanor Roosevelt portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Anna Roosevelt LCCN2016889869 (cropped).jpg — Harris & Ewing, photographer, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Anna_Roosevelt_LCCN2016889869_%28cropped%29.jpg
roosevelt/Media/roosevelt-anna-hall-portrait.jpg,Anna Rebecca Hall Roosevelt portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Anna Rebecca Hall.jpg — Otto Bettmann (Life time: 1863-1892), Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Anna_Rebecca_Hall.jpg
roosevelt/Media/roosevelt-anne-clark-portrait.jpg,Anne Lindsay Clark Roosevelt portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Anne L. Clark (Mrs. John Roosevelt) 1950 - NARA - 196358 (cropped).jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Anne_L._Clark_%28Mrs._John_Roosevelt%29_1950_-_NARA_-_196358_%28cropped%29.jpg
roosevelt/Media/roosevelt-archibald-portrait.jpg,Archibald Bulloch Roosevelt portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Archibald Roosevelt WW-II LtCol.jpg — US Army, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Archibald_Roosevelt_WW-II_LtCol.jpg
roosevelt/Media/roosevelt-betsey-cushing-portrait.jpg,Betsey Cushing Roosevelt Whitney,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Betsey Cushing Roosevelt Whitney — Los Angeles Daily News, UCLA / Wikimedia Commons, CC BY 4.0","https://commons.wikimedia.org/wiki/File:Betsey_Cushing_Roosevelt_Whitney,_1940.jpg"
roosevelt/Media/roosevelt-clarence-boettiger-portrait.jpg,Clarence John Boettiger portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Eleanor Roosevelt, Clarence John Boettiger, John Roosevelt Boettiger, and Anna Boettiger - NARA - 195333.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Eleanor_Roosevelt%2C_Clarence_John_Boettiger%2C_John_Roosevelt_Boettiger%2C_and_Anna_Boettiger_-_NARA_-_195333.jpg
